Fecha,Hora,Viewers
2026-03-15,23:27,969686
2026-03-15,23:52,1236026
2026-03-16,00:16,1201742
2026-03-16,00:45,873323
2026-03-16,01:00,672626
2026-03-16,03:45,537083
2026-03-16,06:06,ERROR_BLOQUEO
2026-03-16,07:24,511912
2026-03-16,08:51,846669
2026-03-16,09:41,839503
2026-03-16,10:45,838639
2026-03-16,11:39,840074
2026-03-16,12:31,838317
2026-03-16,13:05,859300
2026-03-16,14:49,780942
2026-03-16,15:49,1226456
2026-03-16,16:48,1059086
2026-03-16,17:45,1113546
2026-03-16,18:45,1136107
2026-03-16,19:38,1125447
2026-03-16,20:38,997313
2026-03-16,21:03,1051728
2026-03-16,21:51,961891
2026-03-16,22:24,951338
2026-03-16,22:58,919089
2026-03-16,23:31,948675
2026-03-16,23:58,876118
2026-03-17,00:28,864417
2026-03-17,00:52,875763
2026-03-17,01:56,855027
2026-03-17,04:29,554488
2026-03-17,06:09,526096
2026-03-17,07:11,506397
2026-03-17,08:18,342146
2026-03-17,09:03,606968
2026-03-17,10:02,613463
2026-03-17,11:01,677132
2026-03-17,11:57,682990
2026-03-17,12:41,685910
2026-03-17,13:33,689640
2026-03-17,14:59,698486
2026-03-17,15:59,703537
2026-03-17,17:06,744893
2026-03-17,18:15,898397
2026-03-17,19:09,899061
2026-03-17,20:18,899559
2026-03-17,20:59,904206
2026-03-17,21:39,957535
2026-03-17,22:20,1026431
2026-03-17,22:56,972782
2026-03-17,23:25,771109
2026-03-17,23:57,1014166
2026-03-18,00:27,1012440
2026-03-18,00:53,1006054
2026-03-18,02:00,990130
2026-03-18,04:40,423263
2026-03-18,06:16,414708
2026-03-18,07:14,410351
2026-03-18,08:18,135466
2026-03-18,09:02,573614
2026-03-18,10:00,453385
2026-03-18,10:59,454683
2026-03-18,11:55,481943
2026-03-18,12:36,480707
2026-03-18,13:08,420054
2026-03-18,14:50,611133
2026-03-18,15:53,634210
2026-03-18,16:57,715626
2026-03-18,17:54,667322
2026-03-18,18:50,582609
2026-03-18,19:39,673155
2026-03-18,20:34,657375
2026-03-18,21:01,658267
2026-03-18,21:47,735215
2026-03-18,22:21,665037
2026-03-18,22:52,696848
